random_seed,kernel_size,stride,n_filters,crop,max_prob,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,12,2,100,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,69.909996,70.6,73.168335,88.8,89.200005,90.8
0,14,2,100,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,70.795006,70.21667,72.76833,88.8,88.0,88.8
0,12,4,100,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,43.218334,45.308334,57.048332,60.399998,61.6,71.200005
0,16,4,100,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,45.971664,48.015003,63.563335,74.4,76.0,78.799995
0,16,2,100,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,62.496666,63.015,72.134995,78.0,78.0,84.0
0,12,2,49,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,56.246666,56.411667,60.986668,69.6,71.200005,80.4
0,16,2,100,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,50.289997,51.83,64.69333,67.6,68.0,81.6
0,16,2,144,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,75.041664,75.356674,78.19833,88.0,84.799995,90.8
0,12,2,49,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,66.61833,65.97833,69.76167,80.8,76.4,85.2
0,12,4,144,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,59.433334,61.00333,68.66167,72.399994,74.8,81.6
0,16,2,100,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,73.755,74.121666,78.43834,86.0,85.2,92.799995
0,12,4,144,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,75.92834,76.78667,80.270004,87.6,87.6,90.4
0,14,2,100,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,63.91,63.568336,66.055,76.4,75.6,86.4
0,16,4,144,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,50.575,52.93,66.21667,75.2,74.4,78.0
0,16,4,144,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,61.896667,63.32333,73.73999,79.2,80.8,82.8
0,12,4,100,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,54.736668,56.13666,67.13,74.0,73.6,79.6
0,12,2,49,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,43.233334,45.51334,48.77,54.8,55.6,70.0
0,16,2,144,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,68.07166,68.01667,73.56333,82.8,80.8,87.6
0,12,4,100,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,66.939995,67.918335,74.92667,81.2,80.4,86.799995
0,16,2,144,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,69.378334,69.825,76.34667,79.2,79.6,87.2
0,12,2,100,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,72.35999,73.354996,74.01833,86.4,89.200005,90.4
0,16,2,144,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,77.80334,78.21667,81.57166,87.6,86.4,91.6
0,16,4,144,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,43.003338,45.413334,61.561665,70.0,70.4,74.0
0,16,2,100,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,68.261665,68.94833,76.06166,82.4,84.0,87.2
0,14,2,144,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,74.425,74.020004,75.268326,86.0,85.2,89.600006
0,16,2,144,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,80.88833,81.090004,82.256676,94.0,93.6,93.6
0,16,2,100,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,53.090004,54.355,68.39,72.0,73.2,86.4
0,14,2,100,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,75.17834,74.71667,78.32834,86.0,84.0,89.600006
0,16,2,100,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,41.59,44.391666,59.493336,64.0,64.4,74.8
0,12,2,49,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,59.44,59.83,65.22667,74.8,75.6,82.8
