random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,12,2,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.775,69.2875,84,84
5,16,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.12916666666666,67.22916666666667,79,78
1,8,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.07083333333333,59.770833333333336,74,73
1,12,2,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.67916666666666,68.16666666666667,83,84
5,12,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,60.68333333333333,61.37916666666667,76,76
3,8,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,71.47083333333333,73.2375,89,90
5,12,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,74.78333333333333,75.39166666666667,90,92
4,12,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.45,62.583333333333336,80,78
5,12,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,74.15833333333333,75.02083333333333,89,90
4,8,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,69.14166666666667,70.84166666666667,83,85
5,8,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,59.3375,59.983333333333334,74,73
2,8,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.56666666666667,60.4375,73,75
5,16,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,50.30416666666667,49.604166666666664,64,63
4,12,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,75.975,76.63333333333334,92,92
4,12,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.29166666666667,76.87083333333334,91,92
4,8,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,68.89583333333333,70.54583333333333,84,84
4,8,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.29166666666667,71.21666666666667,87,88
3,8,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.670833333333334,60.4,74,73
5,8,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,59.56666666666667,59.65416666666667,74,75
2,12,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,62.208333333333336,60.483333333333334,73,72
2,12,2,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,62.170833333333334,60.275,75,74
4,12,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.24583333333333,60.13333333333333,72,73
2,8,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,60.50416666666667,59.2375,74,72
5,12,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.57083333333334,75.80833333333334,92,94
5,16,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.19583333333334,70.76666666666667,86,84
5,12,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,70.67916666666666,71.88333333333334,87,87
5,16,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,76.8875,76.875,94,92
4,12,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.2,59.858333333333334,74,73
3,16,2,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,58.57083333333333,55.24166666666667,71,68
3,8,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,60.4125,59.041666666666664,73,73
5,8,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,64.51666666666667,65.50416666666666,80,80
5,8,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,59.520833333333336,60.016666666666666,72,74
4,16,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.29166666666667,71.025,88,88
1,16,2,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,75.50416666666666,75.0375,91,90
5,16,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,63.65,62.72083333333333,76,74
1,16,2,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,58.4125,55.041666666666664,72,69
4,8,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.02916666666667,73.15,88,88
1,16,2,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,73.925,73.18333333333334,90,88
