seed,n_train,kernel_size,stride,n_filters,padding,inhib,time,dt,intensity,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,60000,6,2,25,0,100.0,50,1.0,0.5,250,37.01167,38.033333,30.96,50.4,49.6,48.0
1,60000,12,4,100,0,100.0,100,1.0,0.5,250,36.685,38.82333,33.908337,61.6,57.200005,54.8
1,60000,8,4,64,0,100.0,100,1.0,0.5,250,12.128332,12.369999,12.608334,19.2,19.2,19.2
1,60000,4,4,49,0,100.0,100,1.0,0.5,250,11.156667,11.268334,12.181667,16.8,16.4,19.6
1,60000,16,2,64,0,100.0,50,1.0,0.5,250,12.053332,12.208333,12.276667,18.0,18.8,17.6
1,60000,14,2,64,0,100.0,50,1.0,0.5,250,11.865001,11.884999,12.59,18.0,18.0,18.8
1,60000,16,4,25,0,100.0,100,1.0,0.5,250,13.968333,14.921666,21.056667,20.800001,23.199999,35.2
1,60000,16,4,16,0,100.0,100,1.0,0.5,250,10.091666,10.096666,11.291667,15.2,15.6,16.8
1,60000,16,2,25,0,100.0,100,1.0,0.5,250,14.383333,14.723333,17.135,22.0,23.199999,27.599998
1,60000,8,2,49,0,100.0,25,1.0,0.5,250,12.343334,12.483334,10.818333,20.4,21.199999,16.4
1,60000,16,4,36,0,100.0,100,1.0,0.5,250,9.891666,9.880001,11.351667,16.8,17.2,17.6
1,60000,10,2,64,0,100.0,25,1.0,0.5,250,11.298334,12.419999,10.7,17.6,19.6,16.0
1,60000,16,2,100,0,100.0,25,1.0,0.5,250,24.226667,26.913334,17.921667,35.600002,38.800003,29.199999
1,60000,6,2,16,0,100.0,100,1.0,0.5,250,17.855001,18.413332,17.230001,26.800001,26.0,29.199999
1,60000,16,4,49,0,100.0,100,1.0,0.5,250,9.751666,9.766666,11.418333,14.8,15.6,18.8
1,60000,16,4,100,0,100.0,50,1.0,0.5,250,25.633333,27.231665,21.896667,38.800003,42.0,38.800003
1,60000,14,2,36,0,100.0,100,1.0,0.5,250,10.83,10.916667,12.1433325,16.8,17.2,18.8
1,60000,16,2,36,0,100.0,100,1.0,0.5,250,11.275,11.281667,11.656666,18.4,18.4,17.6
1,60000,10,2,25,0,100.0,100,1.0,0.5,250,17.843334,20.523333,18.723333,25.6,31.2,31.600002
1,60000,8,4,81,0,100.0,100,1.0,0.5,250,9.96,9.9783325,10.718333,15.6,16.0,17.6
1,60000,8,2,36,0,100.0,50,1.0,0.5,250,12.3133335,12.433333,10.996668,18.4,20.0,16.8
1,60000,6,2,49,0,100.0,25,1.0,0.5,250,15.041667,15.533334,11.115001,22.8,23.199999,16.8
1,60000,4,4,9,0,100.0,250,1.0,0.5,250,9.680001,9.706667,11.5183325,16.4,16.4,16.8
1,60000,8,4,9,0,100.0,250,1.0,0.5,250,9.783334,9.786667,10.490001,14.8,15.6,16.8
1,60000,12,2,81,0,100.0,25,1.0,0.5,250,12.786667,13.011667,12.1449995,20.0,20.800001,18.8
1,60000,4,4,16,0,100.0,250,1.0,0.5,250,10.045,10.059999,12.585,15.2,15.6,19.2
1,60000,16,4,64,0,100.0,100,1.0,0.5,250,9.696668,9.705001,11.791667,14.0,15.6,20.0
1,60000,4,4,100,0,100.0,25,1.0,0.5,250,46.45,48.263332,34.37,58.0,61.199997,50.0
1,60000,16,4,81,0,100.0,100,1.0,0.5,250,9.794999,9.823334,11.611668,16.0,16.0,18.0
1,60000,4,2,25,0,100.0,50,1.0,0.5,250,47.0,47.563335,38.05,59.2,59.600002,56.4
1,60000,16,2,81,0,100.0,50,1.0,0.5,250,12.530001,12.748334,13.303333,20.0,21.6,20.4
1,60000,6,2,36,0,100.0,50,1.0,0.5,250,16.47,16.973333,12.118334,26.0,27.2,18.8
