random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,norm,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,300,16000,100.0,250,1.0,1.0,0.001,37.5,0.5,10,100,43.0,43.2125,42.7125,62.0,62.0,57.0
1,300,16000,100.0,250,1.0,5.0,0.0001,87.5,0.5,10,100,54.74375,54.91875,54.9,69.0,69.0,67.0
1,300,16000,100.0,250,1.0,1.0,0.0001,50.0,0.5,10,100,48.75,49.04375,48.94375,60.000004,61.0,63.0
1,300,16000,100.0,250,1.0,5.0,0.0001,37.5,0.5,10,100,51.21875,51.51875,52.28125,65.0,63.0,65.0
1,300,16000,100.0,250,1.0,5.0,1e-05,87.5,0.5,10,100,56.44375,56.88125,58.05,72.0,72.0,72.0
1,300,16000,100.0,250,1.0,1.0,0.0001,62.575,0.5,10,100,50.03125,50.18125,50.425,62.0,63.0,62.0
1,300,16000,100.0,250,1.0,5.0,1e-05,62.575,0.5,10,100,57.925,58.14375,58.6875,73.0,73.0,72.0
1,300,16000,100.0,250,1.0,5.0,0.0001,75.0,0.5,10,100,55.33125,55.3625,55.49375,70.0,69.0,70.0
1,300,16000,100.0,250,1.0,5.0,0.001,75.0,0.5,10,100,50.14375,50.41875,51.40625,62.0,62.0,70.0
1,300,16000,100.0,250,1.0,5.0,0.001,37.5,0.5,10,100,44.86875,45.425,46.0875,66.0,67.0,69.0
1,300,16000,100.0,250,1.0,5.0,0.001,62.575,0.5,10,100,50.3625,50.59375,51.54375,65.0,64.0,67.0
1,300,16000,100.0,250,1.0,5.0,0.001,50.0,0.5,10,100,49.9375,50.2625,50.54375,62.0,63.0,64.0
1,300,16000,100.0,250,1.0,1.0,0.0001,75.0,0.5,10,100,50.025,50.4875,50.775,63.0,64.0,67.0
1,300,16000,100.0,250,1.0,1.0,0.0001,87.5,0.5,10,100,50.5375,50.80625,52.1125,66.0,68.0,67.0
1,300,16000,100.0,250,1.0,1.0,0.001,62.575,0.5,10,100,47.2625,47.43125,47.125,60.000004,60.000004,62.0
1,300,16000,100.0,250,1.0,1.0,0.001,87.5,0.5,10,100,48.25,48.30625,49.09375,61.0,62.0,61.0
1,300,16000,100.0,250,1.0,10.0,0.001,62.575,0.5,10,100,52.7875,53.1,52.9375,67.0,68.0,65.0
1,300,16000,100.0,250,1.0,5.0,0.001,87.5,0.5,10,100,51.03125,51.45,51.13125,65.0,66.0,64.0
1,300,16000,100.0,250,1.0,10.0,0.001,75.0,0.5,10,100,53.0125,52.95625,52.8375,66.0,66.0,68.0
1,300,16000,100.0,250,1.0,10.0,0.001,50.0,0.5,10,100,50.6625,50.93125,50.95,67.0,67.0,65.0
1,300,16000,100.0,250,1.0,10.0,1e-05,75.0,0.5,10,100,57.16875,57.35625,57.58125,70.0,71.0,71.0
