random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,25,5500,100.0,150,1.0,0.05,1e-07,0.5,10,100,45.8,46.054546,56.6,58.0,57.0,71.0
0,25,5500,100.0,150,1.0,0.625,1e-07,0.5,10,100,47.745453,47.927273,54.145454,60.000004,58.999996,68.0
0,75,5500,100.0,50,1.0,1.0,1e-06,0.5,10,100,46.454544,46.872726,51.436363,62.0,62.0,61.0
0,300,5500,100.0,50,1.0,0.05,1e-07,0.5,10,100,44.436363,44.70909,57.454544,58.0,58.0,77.0
0,25,5500,100.0,150,1.0,0.625,1e-06,0.5,10,100,47.745453,47.927273,54.145454,60.000004,58.999996,68.0
0,75,5500,100.0,50,1.0,1.0,5e-06,0.5,10,100,46.454544,46.872726,51.436363,62.0,62.0,61.0
0,75,5500,100.0,50,1.0,1.0,1e-07,0.5,10,100,46.454544,46.872726,51.436363,62.0,62.0,61.0
0,50,5500,100.0,150,1.0,0.625,1e-07,0.5,10,100,48.454544,48.327274,57.18182,58.999996,58.999996,67.0
0,50,5500,100.0,150,1.0,0.625,5e-06,0.5,10,100,48.454544,48.327274,57.18182,58.999996,58.999996,67.0
0,100,5500,100.0,150,1.0,0.625,1e-07,0.5,10,100,49.236362,49.6,59.70909,58.999996,60.000004,69.0
0,100,5500,100.0,150,1.0,0.625,1e-06,0.5,10,100,49.236362,49.6,59.70909,58.999996,60.000004,69.0
0,100,5500,100.0,150,1.0,0.625,5e-06,0.5,10,100,49.236362,49.6,59.70909,58.999996,60.000004,69.0
0,200,5500,100.0,100,1.0,0.05,1e-06,0.5,10,100,46.836365,46.618183,56.854546,57.0,58.999996,70.0
0,50,5500,100.0,150,1.0,0.625,1e-06,0.5,10,100,48.454544,48.327274,57.18182,58.999996,58.999996,67.0
0,200,5500,100.0,100,1.0,0.05,5e-06,0.5,10,100,46.836365,46.618183,56.854546,57.0,58.999996,70.0
0,300,5500,100.0,50,1.0,0.05,1e-06,0.5,10,100,44.436363,44.70909,57.454544,58.0,58.0,77.0
0,200,5500,100.0,100,1.0,0.25,1e-06,0.5,10,100,49.072727,48.909092,58.927273,61.0,63.0,73.0
0,75,5500,100.0,100,1.0,0.05,5e-06,0.5,10,100,48.345455,48.49091,57.363636,65.0,66.0,69.0
0,75,5500,100.0,100,1.0,0.05,1e-06,0.5,10,100,48.345455,48.49091,57.363636,65.0,66.0,69.0
0,50,5500,100.0,150,1.0,0.25,1e-06,0.5,10,100,50.418182,50.29091,58.436363,64.0,63.0,66.0
0,25,5500,100.0,150,1.0,1.0,1e-07,0.5,10,100,45.49091,45.745453,52.618183,55.0,57.0,70.0
0,25,5500,100.0,150,1.0,1.0,1e-06,0.5,10,100,45.49091,45.745453,52.618183,55.0,57.0,70.0
0,100,5500,100.0,150,1.0,0.25,1e-07,0.5,10,100,46.30909,46.30909,57.836365,58.999996,58.999996,65.0
0,200,5500,100.0,100,1.0,0.25,1e-07,0.5,10,100,49.072727,48.909092,58.927273,61.0,63.0,73.0
0,75,5500,100.0,100,1.0,0.25,1e-07,0.5,10,100,47.872726,48.454544,57.963634,66.0,68.0,69.0
0,75,5500,100.0,100,1.0,0.25,1e-06,0.5,10,100,47.872726,48.454544,57.963634,66.0,68.0,69.0
0,100,5500,100.0,150,1.0,1.0,1e-06,0.5,10,100,49.890907,50.50909,58.272728,58.999996,60.000004,70.0
0,50,5500,100.0,150,1.0,1.0,5e-06,0.5,10,100,48.563637,49.072727,54.78182,62.0,63.0,65.0
0,50,5500,100.0,150,1.0,1.0,1e-07,0.5,10,100,48.563637,49.072727,54.78182,62.0,63.0,65.0
0,100,5500,100.0,150,1.0,1.0,5e-06,0.5,10,100,49.890907,50.50909,58.272728,58.999996,60.000004,70.0
0,75,5500,100.0,100,1.0,0.25,5e-06,0.5,10,100,47.872726,48.454544,57.963634,66.0,68.0,69.0
0,75,5500,100.0,100,1.0,0.05,1e-07,0.5,10,100,48.345455,48.49091,57.363636,65.0,66.0,69.0
0,200,5500,100.0,100,1.0,0.25,5e-06,0.5,10,100,49.072727,48.909092,58.927273,61.0,63.0,73.0
0,25,5500,100.0,150,1.0,1.0,5e-06,0.5,10,100,45.49091,45.745453,52.618183,55.0,57.0,70.0
0,50,5500,100.0,150,1.0,1.0,1e-06,0.5,10,100,48.563637,49.072727,54.78182,62.0,63.0,65.0
0,75,5500,100.0,100,1.0,0.625,1e-07,0.5,10,100,48.090908,48.636364,57.963634,65.0,66.0,73.0
0,75,5500,100.0,100,1.0,0.625,5e-06,0.5,10,100,48.090908,48.636364,57.963634,65.0,66.0,73.0
0,75,5500,100.0,100,1.0,0.625,1e-06,0.5,10,100,48.090908,48.636364,57.963634,65.0,66.0,73.0
0,300,5500,100.0,50,1.0,0.25,1e-07,0.5,10,100,46.4,46.6,54.909092,61.0,61.0,68.0
0,25,5500,100.0,150,1.0,0.625,5e-06,0.5,10,100,47.745453,47.927273,54.145454,60.000004,58.999996,68.0
0,200,5500,100.0,100,1.0,0.625,1e-06,0.5,10,100,47.454544,47.909092,58.345455,58.999996,58.999996,73.0
0,300,5500,100.0,50,1.0,0.25,5e-06,0.5,10,100,46.4,46.6,54.909092,61.0,61.0,68.0
0,200,5500,100.0,100,1.0,0.625,5e-06,0.5,10,100,47.454544,47.909092,58.345455,58.999996,58.999996,73.0
0,75,5500,100.0,100,1.0,1.0,1e-07,0.5,10,100,47.127274,48.21818,55.4,61.0,67.0,65.0
0,75,5500,100.0,100,1.0,1.0,5e-06,0.5,10,100,47.127274,48.21818,55.4,61.0,67.0,65.0
0,25,5500,100.0,250,1.0,0.05,1e-07,0.5,10,100,44.909092,44.909092,55.30909,58.999996,58.0,67.0
0,25,5500,100.0,250,1.0,0.05,5e-06,0.5,10,100,44.909092,44.909092,55.30909,58.999996,58.0,67.0
0,200,5500,100.0,150,1.0,0.05,1e-06,0.5,10,100,45.21818,45.727272,57.0,58.0,58.0,72.0
0,100,5500,100.0,150,1.0,1.0,1e-07,0.5,10,100,49.890907,50.50909,58.272728,58.999996,60.000004,70.0
0,200,5500,100.0,150,1.0,0.05,1e-07,0.5,10,100,45.21818,45.727272,57.0,58.0,58.0,72.0
0,75,5500,100.0,150,1.0,0.05,1e-07,0.5,10,100,47.50909,47.763638,57.2,58.0,57.0,69.0
0,75,5500,100.0,150,1.0,0.05,1e-06,0.5,10,100,47.50909,47.763638,57.2,58.0,57.0,69.0
0,300,5500,100.0,50,1.0,0.25,1e-06,0.5,10,100,46.4,46.6,54.909092,61.0,61.0,68.0
0,75,5500,100.0,100,1.0,1.0,1e-06,0.5,10,100,47.127274,48.21818,55.4,61.0,67.0,65.0
0,200,5500,100.0,150,1.0,0.25,1e-07,0.5,10,100,48.836365,49.127274,58.563637,64.0,66.0,71.0
0,200,5500,100.0,150,1.0,0.25,1e-06,0.5,10,100,48.836365,49.127274,58.563637,64.0,66.0,71.0
0,300,5500,100.0,50,1.0,0.625,1e-07,0.5,10,100,46.8,47.0,53.927273,56.0,55.0,66.0
