random_seed,n_neurons,n_train,excite,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,225,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.15833333333333,83.45416666666667,91,92
1,400,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,81.80416666666666,82.02916666666667,92,93
1,400,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,81.80416666666666,82.02916666666667,92,93
1,225,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,82.44166666666666,82.69583333333334,92,92
1,625,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,81.87083333333334,82.28333333333333,97,97
1,400,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,84.90833333333333,85.1125,97,96
1,400,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,84.35416666666667,84.79166666666667,95,94
1,625,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,81.87083333333334,82.28333333333333,97,97
1,400,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,84.35416666666667,84.79166666666667,95,94
1,400,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,84.35416666666667,84.79166666666667,95,94
1,625,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,81.87083333333334,82.28333333333333,97,97
1,400,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,84.90833333333333,85.1125,97,96
2,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.475,83.90833333333333,93,93
1,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.4375,84.0,93,93
2,225,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,83.39166666666667,83.90416666666667,94,94
1,400,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,82.06666666666666,82.3875,94,94
1,225,60000,100.0,550.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,81.30416666666666,81.77083333333333,92,92
2,225,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,82.60416666666667,83.15,93,94
2,225,60000,100.0,500.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,82.60416666666667,83.15,93,94
1,225,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,83.675,84.19583333333334,92,93
1,225,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.25,83.675,84.19583333333334,92,93
1,225,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,82.7875,83.3875,92,93
2,225,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,83.02916666666667,83.73333333333333,93,93
1,400,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,84.90833333333333,85.1125,97,96
1,225,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,82.7875,83.3875,92,93
1,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,82.04583333333333,82.70833333333333,92,92
2,225,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,83.02916666666667,83.73333333333333,93,93
1,225,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,82.7875,83.3875,92,93
2,225,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,83.39166666666667,83.90416666666667,94,94
1,400,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,84.6625,84.84583333333333,95,94
1,400,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.89166666666667,84.15416666666667,94,94
2,225,60000,100.0,450.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,83.02916666666667,83.73333333333333,93,93
1,400,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,84.6625,84.84583333333333,95,94
1,225,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,80.875,81.375,91,92
1,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,81.64583333333333,82.18333333333334,93,93
1,400,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,84.6625,84.84583333333333,95,94
2,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.64166666666667,84.2125,94,94
1,400,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.89166666666667,84.15416666666667,94,94
1,400,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,81.80416666666666,82.02916666666667,92,93
