random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,20,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.33333333333333,86.66666666666667,97,98
1,26,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.375,78.5,91,91
2,18,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.99166666666666,78.8125,91,90
1,26,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.475,78.64583333333333,90,90
5,18,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,88.54583333333333,88.78333333333333,97,97
4,18,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,89.03333333333333,89.17083333333333,98,98
1,26,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.80833333333334,78.925,91,91
1,18,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,76.2875,75.8875,88,87
1,24,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.80416666666666,84.5,94,95
1,26,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.69166666666666,79.75,92,92
3,18,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.925,78.75416666666666,92,91
1,26,2,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.18333333333334,83.725,94,94
1,26,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.24166666666666,78.36666666666666,90,90
5,12,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.04166666666667,84.55833333333334,96,96
1,20,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.39166666666667,79.625,90,91
1,26,2,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.57083333333334,84.025,93,94
4,14,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.7125,86.90833333333333,96,96
1,22,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.75833333333334,82.10416666666667,92,92
1,20,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.12916666666666,87.29583333333333,98,98
1,24,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.6125,85.24583333333334,96,96
1,26,2,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.5625,84.15416666666667,95,96
4,18,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.88333333333334,78.65,91,90
3,12,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.83333333333333,84.47916666666667,95,95
1,24,2,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.93333333333334,84.1375,95,96
3,16,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.80416666666666,87.275,96,97
1,26,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.225,78.3875,92,92
2,12,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.40833333333333,80.875,94,94
3,14,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.2625,86.7375,96,95
1,24,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.1125,84.88333333333334,95,95
2,14,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.77083333333333,83.14166666666667,97,97
1,24,2,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.82916666666667,86.1,94,94
1,26,2,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.8,84.25416666666666,95,96
1,26,2,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.8125,84.21666666666667,96,96
1,22,2,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.59166666666667,83.8625,95,94
