seed,n_hidden,n_train,time,lr,lr_decay,update_interval,mean_accuracy,max_accuracy
0,512,60000,50,0.025,1.0,500,62.76167,75.2
0,512,60000,50,0.0075,0.995,500,84.97834,92.0
0,512,60000,50,0.01,0.95,500,85.920006,91.2
2,64,60000,25,0.025,0.995,500,32.306664,72.799995
2,256,60000,10,0.025,0.95,500,86.996666,92.6
2,32,60000,25,0.025,0.995,500,11.851666,64.8
0,512,60000,50,0.01,0.9,500,85.708336,91.2
0,512,60000,50,0.025,0.995,500,71.745,81.8
2,64,60000,25,0.0075,1.0,500,84.39333,90.6
0,128,60000,50,0.01,0.995,500,85.875,92.0
2,64,60000,25,0.01,0.9,500,85.643326,90.4
2,64,60000,25,0.01,0.99,500,85.29,91.0
2,64,60000,25,0.01,0.95,500,86.05334,92.0
0,512,60000,50,0.025,0.99,500,75.94834,87.0
2,64,60000,25,0.025,0.9,500,84.49167,89.4
2,64,60000,25,0.025,0.95,500,81.92667,89.200005
2,64,60000,25,0.01,0.995,500,84.88,90.6
0,512,60000,50,0.0075,0.95,500,85.57166,91.0
2,64,60000,25,0.01,1.0,500,84.13833,89.600006
0,512,60000,50,0.0075,0.9,500,84.99,91.0
2,64,60000,25,0.025,0.99,500,52.57833,74.6
2,64,60000,25,0.0075,0.995,500,84.91501,91.399994
0,512,60000,50,0.01,1.0,500,84.82667,90.4
0,512,60000,50,0.01,0.995,500,85.346664,91.2
2,64,60000,25,0.0075,0.95,500,85.67166,90.6
2,64,60000,25,0.0075,0.99,500,85.291664,91.2
0,128,60000,50,0.0075,0.95,500,85.87667,92.2
1,512,60000,25,0.0075,0.99,500,85.43833,91.799995
1,512,60000,25,0.025,0.9,500,17.55,54.4
2,64,60000,25,0.025,1.0,500,31.74,71.0
2,32,60000,50,0.025,0.995,500,11.523334,64.200005
