random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,300,60000,250.0,250,1.0,0.5,1e-06,0.5,125.0,10,250,63.146664,63.52833,63.665,74.4,74.4,72.799995
0,300,60000,250.0,250,1.0,0.05,1e-05,0.5,150.0,10,250,41.56167,41.853336,43.140003,58.8,58.8,58.0
0,300,60000,250.0,250,1.0,1.0,1e-06,0.5,100.0,10,250,65.36,65.52,65.145004,75.2,75.2,73.6
0,300,60000,250.0,250,1.0,0.05,1e-07,0.5,100.0,10,250,57.26167,57.371666,57.233334,71.200005,72.399994,70.8
0,300,60000,250.0,250,1.0,0.05,1e-06,0.5,125.0,10,250,51.245,51.38833,51.751667,64.8,65.200005,66.0
0,300,60000,250.0,250,1.0,0.05,1e-06,0.5,150.0,10,250,53.508335,53.684998,54.028336,68.4,68.4,69.2
0,300,60000,250.0,250,1.0,0.05,1e-06,0.5,100.0,10,250,49.979996,50.05,50.151665,64.8,64.8,67.2
0,300,60000,250.0,250,1.0,1.0,1e-06,0.5,125.0,10,250,55.493336,56.428333,60.816666,73.2,74.0,72.399994
0,300,60000,250.0,250,1.0,0.1,1e-07,0.5,125.0,10,250,54.853333,55.92667,60.85167,74.0,74.0,74.4
0,300,60000,250.0,250,1.0,0.1,1e-07,0.5,150.0,10,250,53.168335,53.538334,57.578335,70.0,69.6,69.6
0,300,60000,250.0,250,1.0,0.05,1e-05,0.5,125.0,10,250,39.643333,40.038334,41.239998,58.399998,58.0,60.399998
0,300,60000,250.0,250,1.0,0.5,1e-06,0.5,150.0,10,250,49.638332,50.57333,56.616665,67.2,67.2,69.6
0,400,60000,250.0,250,1.0,1.0,1e-05,0.5,150.0,10,250,50.80167,51.041668,51.055,64.8,64.8,62.4
0,300,60000,250.0,250,1.0,0.1,1e-07,0.5,100.0,10,250,60.208332,60.47667,60.893333,73.6,74.0,73.6
0,300,60000,250.0,250,1.0,0.05,1e-07,0.5,125.0,10,250,60.833332,61.05167,60.69,70.8,72.0,72.399994
0,400,60000,250.0,250,1.0,0.1,1e-05,0.5,100.0,10,250,42.72333,42.98834,43.478336,58.0,58.0,58.399998
0,400,60000,250.0,250,1.0,0.1,1e-06,0.5,150.0,10,250,57.173332,57.33,57.536667,69.6,69.6,68.8
0,400,60000,250.0,250,1.0,0.05,1e-06,0.5,100.0,10,250,50.14833,50.303337,50.521667,66.399994,66.799995,66.799995
0,400,60000,250.0,250,1.0,0.5,1e-05,0.5,150.0,10,250,48.715,49.020004,49.335003,61.199997,62.0,62.800003
0,400,60000,250.0,250,1.0,0.05,1e-05,0.5,125.0,10,250,40.828335,41.15167,42.463333,58.8,58.0,58.399998
0,400,60000,250.0,250,1.0,0.1,1e-05,0.5,150.0,10,250,45.073338,45.533333,46.105,62.800003,62.0,62.4
0,400,60000,250.0,250,1.0,0.1,1e-06,0.5,125.0,10,250,57.041668,57.233334,57.406666,69.6,69.6,68.4
0,400,60000,250.0,250,1.0,1.0,1e-05,0.5,125.0,10,250,49.57833,49.72333,49.671665,64.4,64.0,64.4
0,300,60000,250.0,250,1.0,1.0,1e-06,0.5,150.0,10,250,50.513332,51.44833,56.60167,64.4,66.0,68.0
0,400,60000,250.0,250,1.0,0.1,1e-05,0.5,125.0,10,250,42.916668,43.126667,43.873333,60.399998,60.8,60.000004
0,400,60000,250.0,250,1.0,0.05,1e-05,0.5,150.0,10,250,42.173332,42.270004,43.846672,56.800003,57.6,58.0
0,400,60000,250.0,250,1.0,0.5,1e-06,0.5,125.0,10,250,64.84334,65.12667,64.99833,76.0,75.2,76.8
0,400,60000,250.0,250,1.0,0.05,1e-06,0.5,125.0,10,250,52.808334,52.921673,53.326668,66.799995,67.2,67.2
0,400,60000,250.0,250,1.0,0.05,1e-05,0.5,100.0,10,250,38.666668,38.946667,39.676662,56.800003,57.200005,55.199997
0,400,60000,250.0,250,1.0,0.1,1e-06,0.5,100.0,10,250,56.20333,56.286667,56.131664,66.799995,66.799995,68.0
0,400,60000,250.0,250,1.0,0.5,1e-06,0.5,150.0,10,250,50.683334,51.036667,58.154995,66.0,67.6,70.0
0,400,60000,250.0,250,1.0,1.0,1e-06,0.5,100.0,10,250,65.52166,65.831665,64.958336,76.8,76.8,75.6
0,400,60000,250.0,250,1.0,0.5,1e-05,0.5,125.0,10,250,48.948338,49.22167,49.441666,66.399994,67.2,66.799995
0,400,60000,250.0,250,1.0,0.1,1e-07,0.5,100.0,10,250,60.53667,60.821667,60.57333,73.2,73.2,72.399994
0,400,60000,250.0,250,1.0,0.5,1e-06,0.5,100.0,10,250,64.23333,64.32333,64.223335,73.2,73.2,73.6
0,400,60000,250.0,250,1.0,1.0,1e-05,0.5,100.0,10,250,47.08667,47.213333,47.325,61.6,62.0,62.4
0,400,60000,250.0,250,1.0,0.1,1e-07,0.5,150.0,10,250,51.693336,51.989998,56.993336,68.0,68.0,68.8
0,400,60000,250.0,250,1.0,1.0,1e-06,0.5,150.0,10,250,52.460003,53.201668,58.3,65.6,68.8,72.0
0,400,60000,250.0,250,1.0,0.1,1e-07,0.5,125.0,10,250,56.196667,56.888332,61.56333,73.6,73.6,73.2
0,300,60000,250.0,250,1.0,0.05,1e-07,0.5,150.0,10,250,51.739998,51.923332,55.966667,72.0,72.0,71.6
0,400,60000,250.0,250,1.0,0.5,1e-05,0.5,100.0,10,250,45.27667,45.545002,45.56333,61.6,61.6,60.000004
0,400,60000,250.0,250,1.0,1.0,1e-06,0.5,125.0,10,250,57.418335,57.931664,62.225,73.2,73.2,74.4
0,300,60000,250.0,250,1.0,0.5,1e-07,0.5,150.0,10,250,51.47167,51.733334,55.344997,66.399994,68.0,67.2
0,300,60000,250.0,250,1.0,0.5,1e-07,0.5,100.0,10,250,52.66,53.311665,58.621662,74.4,74.8,72.799995
0,300,60000,250.0,250,1.0,0.5,1e-07,0.5,125.0,10,250,52.45,52.695,56.5,76.0,76.4,70.0
0,400,60000,250.0,250,1.0,0.05,1e-06,0.5,150.0,10,250,53.68834,53.875,54.391666,69.6,69.6,67.2
0,500,60000,250.0,250,1.0,1.0,1e-05,0.5,125.0,10,250,50.861668,51.088333,51.221672,61.199997,61.199997,63.200005
0,300,60000,250.0,250,1.0,1.0,1e-07,0.5,125.0,10,250,53.460003,53.071667,55.82833,68.0,69.2,71.200005
0,400,60000,250.0,250,1.0,0.05,1e-07,0.5,150.0,10,250,54.536663,54.48667,56.47667,73.2,73.6,72.799995
0,400,60000,250.0,250,1.0,0.05,1e-07,0.5,100.0,10,250,57.338333,57.393333,57.22833,72.399994,72.399994,71.6
0,300,60000,250.0,250,1.0,1.0,1e-07,0.5,150.0,10,250,53.760002,53.779995,55.775,67.6,68.4,68.4
0,500,60000,250.0,250,1.0,1.0,1e-05,0.5,150.0,10,250,51.736668,51.981667,52.1,63.200005,63.6,63.6
0,400,60000,250.0,250,1.0,0.5,1e-07,0.5,150.0,10,250,55.095005,55.779995,58.13667,67.2,68.8,68.8
0,500,60000,250.0,250,1.0,0.5,1e-05,0.5,100.0,10,250,48.271667,48.466667,48.473335,66.0,65.6,63.6
0,400,60000,250.0,250,1.0,0.5,1e-07,0.5,100.0,10,250,55.696667,55.83,59.82,75.6,77.200005,73.2
0,500,60000,250.0,250,1.0,1.0,1e-06,0.5,150.0,10,250,53.765,54.838333,59.433334,69.2,71.6,70.4
0,300,60000,250.0,250,1.0,1.0,1e-07,0.5,100.0,10,250,56.40167,56.728333,59.683334,74.0,74.0,71.200005
0,500,60000,250.0,250,1.0,0.5,1e-05,0.5,150.0,10,250,48.431664,48.691666,49.114998,62.800003,62.800003,62.800003
0,500,60000,250.0,250,1.0,0.05,1e-05,0.5,100.0,10,250,42.563335,42.88833,43.813335,59.600002,60.000004,59.2
0,500,60000,250.0,250,1.0,0.1,1e-07,0.5,125.0,10,250,56.75,57.010002,60.41333,74.4,73.6,73.2
0,500,60000,250.0,250,1.0,0.1,1e-06,0.5,150.0,10,250,58.046665,58.315,58.395004,68.4,68.4,67.2
0,400,60000,250.0,250,1.0,0.5,1e-07,0.5,125.0,10,250,56.673332,56.971664,58.78667,70.8,72.799995,72.799995
0,500,60000,250.0,250,1.0,0.5,1e-05,0.5,125.0,10,250,48.89333,49.20667,49.15167,60.399998,60.8,59.600002
0,500,60000,250.0,250,1.0,0.1,1e-06,0.5,125.0,10,250,57.483334,57.625,57.715,69.2,69.2,69.6
0,500,60000,250.0,250,1.0,0.1,1e-05,0.5,125.0,10,250,42.48833,42.77667,43.80167,62.0,62.800003,61.199997
0,500,60000,250.0,250,1.0,1.0,1e-06,0.5,125.0,10,250,58.67667,58.85167,63.344994,73.2,72.799995,74.0
0,500,60000,250.0,250,1.0,0.05,1e-05,0.5,150.0,10,250,43.42167,43.716667,45.14,57.200005,57.6,60.000004
0,500,60000,250.0,250,1.0,0.1,1e-07,0.5,100.0,10,250,60.045002,60.376667,60.003334,73.2,73.2,73.2
0,600,60000,250.0,250,1.0,1.0,1e-05,0.5,125.0,10,250,49.705,49.91,49.943333,64.0,64.4,64.4
0,500,60000,250.0,250,1.0,0.5,1e-06,0.5,100.0,10,250,64.939995,65.04,64.814995,74.4,74.4,74.0
0,500,60000,250.0,250,1.0,1.0,1e-06,0.5,100.0,10,250,66.685005,66.96667,66.10167,76.4,76.4,76.4
0,400,60000,250.0,250,1.0,0.05,1e-07,0.5,125.0,10,250,60.005005,60.326668,59.91333,73.6,74.0,72.0
0,500,60000,250.0,250,1.0,0.5,1e-06,0.5,150.0,10,250,52.321667,52.63667,59.31166,68.4,68.4,69.6
0,500,60000,250.0,250,1.0,0.05,1e-06,0.5,150.0,10,250,55.093334,55.27667,55.77667,67.6,67.6,66.0
0,500,60000,250.0,250,1.0,0.05,1e-07,0.5,100.0,10,250,57.538334,57.606667,57.379997,76.4,76.8,75.2
