random_seed,kernel_size,stride,n_filters,crop,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,20,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,59.39,59.61,64.854996,71.6,71.6,75.6
0,14,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,60.530003,61.683334,66.16334,71.6,71.6,75.2
0,16,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,59.558334,60.451668,65.598335,74.8,76.0,78.4
0,20,2,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,61.715,61.463333,64.020004,70.4,70.0,72.0
0,12,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,58.478336,57.821667,65.13,72.799995,72.399994,76.0
0,12,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,58.27333,57.483334,64.00167,68.8,66.799995,73.2
0,14,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,59.966667,61.14,68.670006,70.0,72.0,78.799995
0,14,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,60.551662,61.85,68.670006,72.0,72.399994,78.4
0,16,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,63.95,64.61333,68.59167,73.2,74.4,80.0
0,14,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,60.245003,61.34833,68.95667,70.8,72.0,80.4
0,16,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,62.77833,63.61333,68.19667,71.6,72.0,77.200005
0,14,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,62.285,63.904995,68.475,71.200005,73.2,76.8
0,16,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,63.008327,63.830006,67.46667,73.6,74.4,78.0
0,14,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,60.379997,61.943336,66.471664,72.0,72.399994,74.4
